Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,4,Livience Aleenta,1900 sqft,Semi-Furnished,4,₹3.30 Cr ,₹12865 per sqft 
,3,Lodha Belmondo,,Unfurnished,3,₹1.59 Cr ,₹12027 per sqft 
,3,Adi Amma Insperia,1093 sqft,Unfurnished,3,₹1.25 Cr ,₹8284 per sqft 
,2,VTP Earth One,763 sqft,Unfurnished,2,₹85 Lac ,₹7959 per sqft 
,2,Gini Vivante,787 sqft,Unfurnished,2,₹57 Lac ,₹7243 per sqft 
,2,V Uptown,640 sqft,Unfurnished,2,₹58 Lac ,₹6705 per sqft 
,3,,1549 sqft,Unfurnished,3,₹3.60 Cr ,₹17217 per sqft 
,3,Joyville Celestia,826 sqft,Unfurnished,2,₹99 Lac ,
,2,Sukhwani Sepia,755 sqft,Unfurnished,2,₹85.1 Lac ,₹8383 per sqft 
,2,Infinito Sereno,795 sqft,Unfurnished,2,₹78.8 Lac ,₹7095 per sqft 
,2,Godrej Meadows Phase 2,640 sqft,Furnished,2,₹72 Lac ,₹7579 per sqft 
,3,Panchshil Towers,1700 sqft,Semi-Furnished,4,₹3.36 Cr ,₹13176 per sqft 
,3,Joyville Celestia,936 sqft,Unfurnished,3,₹99 Lac ,
,2,Pooja Complex,903 sqft,Unfurnished,2,₹70 Lac ,₹6890 per sqft 
,3,Kumar Parth Tower,1073 sqft,Unfurnished,3,₹1.25 Cr ,₹8621 per sqft 
,3,,1148 sqft,Unfurnished,4,₹1.02 Cr ,₹3923 per sqft 
,2,Shapoorji Pallonji Vanaha,,Unfurnished,2,₹1.06 Cr ,₹10500 per sqft 
,2,Bramha the Collection,808 sqft,Unfurnished,2,₹91 Lac ,₹7280 per sqft 
,3,,1050 sqft,Unfurnished,3,₹1.10 Cr ,₹7333 per sqft 
,2,,727 sqft,Unfurnished,2,₹50.8 Lac ,₹4985 per sqft 
,3,Bramha the Collection,1140 sqft,Semi-Furnished,3,₹1.62 Cr ,₹11134 per sqft 
,1,Kakkad La Vida,463 sqft,Unfurnished,1,₹53.5 Lac ,₹8560 per sqft 
,4,,1694 sqft,Unfurnished,4,₹3.38 Cr ,₹14786 per sqft 
,3,,1021 sqft,Semi-Furnished,3,₹1.25 Cr ,₹8747 per sqft 
,2,ANP Universe,900 sqft,Unfurnished,2,₹1.60 Cr ,₹14545 per sqft 
,2,Royal KP Stellar,750 sqft,Unfurnished,2,₹65 Lac ,₹6190 per sqft 
,2,Bella Casa,734 sqft,Unfurnished,2,₹67 Lac ,
,2,Pride World City Wellington,780 sqft,Furnished,2,₹65 Lac ,₹6173 per sqft 
,4,Park Landmark,,Semi-Furnished,4,₹2.07 Cr ,₹9600 per sqft 
,3,,1629 sqft,Unfurnished,3,₹3.17 Cr ,₹14417 per sqft 
,3,Yashwin Orizzonte,930 sqft,Unfurnished,2,₹1.30 Cr ,₹9630 per sqft 
,3,iLife Upper NIBM,1025 sqft,Unfurnished,3,₹79 Lac ,₹5505 per sqft 
,3,VTP Dolce Vita,1245 sqft,Semi-Furnished,3,₹1.23 Cr ,₹7885 per sqft 
,3,Kalpataru Exquisite,1100 sqft,Unfurnished,3,₹1.45 Cr ,₹9283 per sqft 
,3,Pristine Allure,1000 sqft,Semi-Furnished,3,₹1 Cr ,₹7143 per sqft 
,2,YashONE Eternitee,722 sqft,Unfurnished,2,₹68 Lac ,₹6869 per sqft 
,2,Manav La Centra,710 sqft,Unfurnished,2,₹63 Lac ,₹7334 per sqft 
,3,,1577 sqft,Unfurnished,4,₹2.45 Cr ,₹12781 per sqft 
,3,,1156 sqft,Unfurnished,3,₹1.49 Cr ,₹9209 per sqft 
,2,Royal KP Stellar,,Unfurnished,2,₹82 Lac ,₹7961 per sqft 
,2,Joyville Hadapsar Annexe,589 sqft,Unfurnished,2,₹58 Lac ,₹9847 per sqft 
,2,Rohan Harita,750 sqft,Unfurnished,2,₹75 Lac ,₹6522 per sqft 
,3,Nyati Esteban II,,Unfurnished,3,₹1.18 Cr ,₹8138 per sqft 
,3,Pharande Puneville Phase III Cluster A,1162 sqft,Unfurnished,3,₹1.15 Cr ,₹7334 per sqft 
,2,Nyati Esteban II,839 sqft,Unfurnished,2,₹73.8 Lac ,₹5990 per sqft 
,2,Majestique Signature Towers,833 sqft,Unfurnished,2,₹95.4 Lac ,₹8033 per sqft 
,3,Cloud 51,1049 sqft,Unfurnished,3,₹1.15 Cr ,₹8333 per sqft 
