Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,2,Venkatesh Graffiti Glover,,Semi-Furnished,2,₹73 Lac ,₹8902 per sqft 
,2,Newton Homes,775 sqft,Unfurnished,2,₹61 Lac ,
,3,Osian One and Only,1170 sqft,Unfurnished,3,₹1.41 Cr ,₹8930 per sqft 
,3,Nyati Esteban I,1500 sqft,Semi-Furnished,3,₹1.50 Cr ,₹7500 per sqft 
,2,Pride World City Wellington,780 sqft,Unfurnished,2,₹63 Lac ,₹5983 per sqft 
,4,24K Altura,,Semi-Furnished,4,₹2.55 Cr ,₹15044 per sqft 
,2,Raheja Sterling,740 sqft,Unfurnished,2,₹70 Lac ,₹6731 per sqft 
,2,Yash Orchid,850 sqft,Unfurnished,2,₹1.20 Cr ,₹9302 per sqft 
,3,Belmac Residences,1340 sqft,Semi-Furnished,3,₹2.25 Cr ,₹12032 per sqft 
,4,Yoo Pune,5626 sqft,Unfurnished,3,₹7.60 Cr ,₹13509 per sqft 
,3,204 Blue Paradise,1125 sqft,Unfurnished,3,₹1.59 Cr ,₹11000 per sqft 
,4,,1216 sqft,Unfurnished,4,₹2.07 Cr ,₹12637 per sqft 
,4,Raheja Stellar,2685 sqft,Unfurnished,4,₹3.40 Cr ,₹8947 per sqft 
,3,,1163 sqft,Unfurnished,3,₹1.70 Cr ,₹10241 per sqft 
,4,Raviraj Presidential Tower,1872 sqft,Unfurnished,3,₹2.42 Cr ,₹8643 per sqft 
,3,Yashada Jubilee Hills,1150 sqft,Unfurnished,3,₹1.50 Cr ,₹10000 per sqft 
,4,Pristine Allure,1393 sqft,Semi-Furnished,3,₹1.55 Cr ,₹8240 per sqft 
,2,,744 sqft,Unfurnished,2,₹50 Lac ,₹4980 per sqft 
,2,Riverdale Grove,737 sqft,Unfurnished,2,₹1 Cr ,₹9259 per sqft 
,2,Bramhacorp August Towers,650 sqft,Unfurnished,2,₹67 Lac ,₹8375 per sqft 
,3,Nyati Elite,1528 sqft,Unfurnished,3,₹1.27 Cr ,
,2,Gagan Adira,815 sqft,Unfurnished,2,₹75 Lac ,₹8065 per sqft 
,3,Infinity World,988 sqft,Unfurnished,3,₹84 Lac ,₹6398 per sqft 
,3,Vaastu Imperial,1322 sqft,Unfurnished,3,₹1.14 Cr ,₹5947 per sqft 
,2,Kolte Patil Life Republic,747 sqft,Semi-Furnished,2,₹58.1 Lac ,₹5764 per sqft 
,2,Pride World City Wellington,780 sqft,Unfurnished,2,₹64.2 Lac ,₹6117 per sqft 
,2,Zen Elite,838 sqm,Unfurnished,2,₹94.5 Lac ,₹7269 per sqft 
,2,Dosti Greenscapes,682 sqft,Unfurnished,2,₹79 Lac ,₹8272 per sqft 
,2,Chandrangan Revanta,759 sqft,Unfurnished,2,₹62.1 Lac ,₹5931 per sqft 
,4,5 Maidan by Skyi,1802 sqft,Unfurnished,4,₹2.85 Cr ,₹11207 per sqft 
,2,Khush Vista Phase 1,715 sqft,Unfurnished,2,₹44 Lac ,₹4314 per sqft 
,3,Belmac Residences,1350 sqft,Semi-Furnished,3,₹2.49 Cr ,₹15562 per sqft 
,1,,400 sqft,Furnished,1,₹47 Lac ,₹8545 per sqft 
,3,5 Race Course,,Unfurnished,3,₹1.69 Cr ,₹8961 per sqft 
,3,Majestique Ephelia,1210 sqft,Unfurnished,3,₹1.45 Cr ,₹8714 per sqft 
,3,,1015 sqft,Unfurnished,3,₹1.05 Cr ,₹7664 per sqft 
,2,,800 sqft,Unfurnished,2,₹58 Lac ,₹5524 per sqft 
,2,Sky High Towers,688 sqft,Unfurnished,2,₹61 Lac ,₹6334 per sqft 
,4,,,Unfurnished,4,₹2.35 Cr ,₹9325 per sqft 
,3,Ganga Avanta,1219 sqft,Unfurnished,3,₹1.85 Cr ,
,3,Tulip Infinity Avana,,Semi-Furnished,3,₹1.40 Cr ,₹8154 per sqft 
,4,VTP Earth One,1766 sqft,Unfurnished,4,₹2.05 Cr ,₹6966 per sqft 
,3,Majestique Signature Towers,1170 sqft,Unfurnished,3,₹1.65 Cr ,₹10848 per sqft 
,3,,1250 sqft,Unfurnished,3,₹1.31 Cr ,₹7486 per sqft 
,2,,926 sqft,Unfurnished,2,₹99 Lac ,₹8609 per sqft 
,2,Que 914,830 sqft,Semi-Furnished,2,₹69.3 Lac ,₹6022 per sqft 
,2,Unique K Town Apartment,752 sqft,Unfurnished,2,₹58 Lac ,₹5670 per sqft 
,2,L Axis Pharande Spaces,840 sqft,Unfurnished,2,₹79 Lac ,₹6718 per sqft 
,4,Vascon Windermere,,Unfurnished,5,₹7.95 Cr ,₹20921 per sqft 
,3,,1615 sqft,Unfurnished,3,₹2.40 Cr ,₹12000 per sqft 
,3,Avior Up Life Phase 2 Emerald,980 sqft,Unfurnished,3,₹67 Lac ,₹5386 per sqft 
,2,Shree Sonigara Signature Park E F I And J Buildings,741 sqft,Unfurnished,2,₹81 Lac ,₹7714 per sqft 
,3,,958 sqft,Unfurnished,3,₹1.07 Cr ,₹7979 per sqft 
,2,Austin Park,825 sqft,Unfurnished,2,₹70 Lac ,₹6087 per sqft 
,2,The High Gates,822 sqft,Unfurnished,2,₹95 Lac ,₹8636 per sqft 
,2,Pride Purple Park Titan,774 sqft,Semi-Furnished,2,₹74 Lac ,₹7048 per sqft 
,4,,2035 sqft,Unfurnished,4,₹5.60 Cr ,₹20386 per sqft 
,3,Goel Ganga Avanta,1265 sqft,Unfurnished,3,₹1.61 Cr ,₹9200 per sqft 
,2,,822 sqft,Unfurnished,2,₹99 Lac ,₹8250 per sqft 
,2,Renuka Panch Tattva,787 sqft,Unfurnished,2,₹68 Lac ,₹6099 per sqft 
,3,Kalpataru Jade Residences,1198 sqft,Unfurnished,3,₹2.10 Cr ,₹14000 per sqft 
,4,Lodha Panache,1744 sqft,Unfurnished,4,₹2.05 Cr ,₹10789 per sqft 
,2,Kumar Princetown,800 sqft,Unfurnished,2,₹69 Lac ,₹6106 per sqft 
,2,Codename Fireworks,795 sqft,Unfurnished,2,₹1.05 Cr ,₹9130 per sqft 
,2,Godrej Forest Grove,630 sqft,Unfurnished,2,₹64 Lac ,₹6874 per sqft 
,2,VTP Dolce Vita,674 sqft,Unfurnished,2,₹77 Lac ,₹8790 per sqft 
,2,Rahul Downtown,820 sqft,Unfurnished,2,₹64.2 Lac ,₹5799 per sqft 
,4,Mantra Mirari,1916 sqft,Semi-Furnished,5,₹2.49 Cr ,₹9410 per sqft 
,3,,1052 sqft,Furnished,3,₹84.9 Lac ,₹5567 per sqft 
,3,Mantra Mirari,1156 sqft,Unfurnished,3,₹1.45 Cr ,₹9295 per sqft 
,4,Marvel Zephyr,3455 sqft,Semi-Furnished,4,₹3.65 Cr ,₹8381 per sqft 
,3,Yash Grecia,938 sqft,Unfurnished,3,₹65 Lac ,
,2,K Shire,799 sqft,Unfurnished,2,₹76 Lac ,₹7129 per sqft 
,2,Meriton Tower,735 sqft,Unfurnished,2,₹65 Lac ,₹6552 per sqft 
,3,Gagan Adira,1086 sqft,Semi-Furnished,3,₹90 Lac ,₹5788 per sqft 
,2,,756 sqft,Unfurnished,2,₹85.8 Lac ,₹8413 per sqft 
,3,,1215 sqft,Unfurnished,3,₹1.45 Cr ,₹8683 per sqft 
,3,Basil Maximus,1150 sqft,Unfurnished,3,₹99 Lac ,₹6513 per sqft 
,2,Adani Atelier Greens,,Semi-Furnished,2,₹1.95 Cr ,₹16957 per sqft 
,2,,759 sqft,Unfurnished,2,₹1.48 Cr ,₹14631 per sqft 
,3,,936 sqft,Unfurnished,2,₹1.15 Cr ,₹8846 per sqft 
,3,Kumar Parth Tower,1080 sqft,Unfurnished,3,₹1.18 Cr ,₹8152 per sqft 
,3,Clover Water Garden,2050 sqft,Unfurnished,3,₹3.80 Cr ,₹13333 per sqft 
,3,,1000 sqft,Unfurnished,3,₹1.12 Cr ,₹8000 per sqft 
,4,Privie Sanctum,3468 sqft,Unfurnished,5,₹5.75 Cr ,₹12281 per sqft 
,1,Mahindra Happinest Tathawade Phase 1,470 sqft,Unfurnished,2,₹37.8 Lac ,₹5027 per sqft 
,2,Nyati Erica,788 sqft,Unfurnished,2,₹52 Lac ,₹4952 per sqft 
,3,Pebbles Greenfield,1040 sqft,Unfurnished,3,₹1.07 Cr ,₹7621 per sqft 
,1,,481 sqft,Unfurnished,2,₹51 Lac ,₹6800 per sqft 
,3,Civcon Residency,1100 sqft,Unfurnished,3,₹1.95 Cr ,₹13000 per sqft 
,2,Dhanashree Aanand,725 sqft,Unfurnished,2,₹48 Lac ,₹4706 per sqft 
,3,Gemini Grand Bay,1080 sqft,Unfurnished,2,₹75 Lac ,₹5859 per sqft 
,3,Yoo One,1500 sqft,Unfurnished,3,₹1.88 Cr ,₹9400 per sqft 
,3,Yash Grecia,828 sqft,Unfurnished,3,₹73 Lac ,₹5615 per sqft 
,2,K Shire,790 sqft,Unfurnished,2,₹61 Lac ,₹5722 per sqft 
,4,The Canary,1885 sqft,Semi-Furnished,4,₹2.56 Cr ,₹10252 per sqft 
,3,VTP Dolce Vita,928 sqft,Semi-Furnished,2,₹98 Lac ,₹8991 per sqft 
,3,SKYi Star City,753 sqft,Unfurnished,3,₹53.6 Lac ,₹4873 per sqft 
,2,,703 sqft,Unfurnished,1,₹73 Lac ,₹7692 per sqft 
,1,,434 sqft,Unfurnished,1,₹43.5 Lac ,₹7423 per sqft 
,2,Pegasus,750 sqft,Unfurnished,2,₹76 Lac ,₹7238 per sqft 
,1,Godrej Skygreens,,Unfurnished,1,₹43 Lac ,₹7167 per sqft 
,4,Kasturi the Balmoral Estate,2587 sqft,Furnished,5,₹5.98 Cr ,₹16384 per sqft 
,3,SKYi Songbirds,1100 sqft,Unfurnished,3,₹1.08 Cr ,₹7162 per sqft 
,2,Nyati Era,814 sqft,Unfurnished,2,₹71 Lac ,₹8722 per sqft 
,2,Pride Wellington,780 sqft,Unfurnished,2,₹67.2 Lac ,₹6384 per sqft 
,2,Suyog Space,772 sqft,Unfurnished,2,₹84 Lac ,₹8000 per sqft 
,4,Panchshil Towers,2655 sqft,Unfurnished,4,₹4.50 Cr ,₹13196 per sqft 
,2,Vertillas,1100 sqft,Semi-Furnished,2,₹1.21 Cr ,₹8067 per sqft 
,3,Geras Island of Joy,1130 sqft,Semi-Furnished,3,₹1.29 Cr ,₹8520 per sqft 
,4,One North,,Unfurnished,5,₹6.75 Cr ,₹11250 per sqft 
,3,Rahul Downtown,979 sqft,Unfurnished,3,₹90.5 Lac ,₹6851 per sqft 
,4,Emirus,2389 sqft,Unfurnished,3,₹4.39 Cr ,₹14937 per sqft 
,3,Sai Vishal Belleza,1150 sqft,Semi-Furnished,3,₹1.10 Cr ,₹8100 per sqft 
,3,Nyati Ethos,1300 sqft,Unfurnished,3,₹94 Lac ,₹6037 per sqft 
,2,,960 sqft,Unfurnished,2,₹1.50 Cr ,₹11029 per sqft 
,4,Panchshil Eon Free Zone,2600 sqft,Semi-Furnished,5,₹4.70 Cr ,₹13824 per sqft 
,2,Rohan Mithila,1195 sqft,Unfurnished,2,₹1.02 Cr ,₹7286 per sqft 
,1,,550 sqft,Unfurnished,1,₹64 Lac ,
,3,Kolte Patil Tuscan Estate Signature Meadows,1210 sqft,Unfurnished,3,₹1.80 Cr ,₹10909 per sqft 
,2,,746 sqft,Unfurnished,2,₹65 Lac ,₹8713 per sqft 
,2,Kingston Avenue,850 sqft,Furnished,2,₹1.20 Cr ,₹10629 per sqft 
,3,Krishna Amorapolis,1021 sqft,Unfurnished,3,₹90 Lac ,₹6526 per sqft 
,2,Goel Ganga Legend County,828 sqft,Unfurnished,2,₹89 Lac ,₹7968 per sqft 
,2,Ganraj Associates Shreemant Ganray Krupa,830 sqft,Furnished,2,₹75 Lac ,₹6944 per sqft 
,2,Kshitij Residency,720 sqft,Unfurnished,2,₹99 Lac ,₹9612 per sqft 
,2,Pride World City,780 sqft,Unfurnished,2,₹58.7 Lac ,₹5594 per sqft 
,2,Rohan Abhilasha,,Unfurnished,2,₹73 Lac ,₹6460 per sqft 
,3,Marvel Zephyr,1900 sqft,Unfurnished,5,₹2.45 Cr ,₹10426 per sqft 
,2,Gera World of Joy,1650 sqft,Unfurnished,2,₹2.22 Cr ,₹11034 per sqft 
,4,,,Unfurnished,4,₹3.70 Cr ,₹12333 per sqft 
,2,Pebbles Greenfield,750 sqft,Unfurnished,2,₹68 Lac ,₹6719 per sqft 
,2,Ambrosia Alley,798 sqft,Unfurnished,2,₹87 Lac ,₹7909 per sqft 
,2,Nivasa Elevia,751 sqft,Unfurnished,2,₹63 Lac ,₹6219 per sqft 
,3,,950 sqft,Unfurnished,3,₹67 Lac ,₹5154 per sqft 
,3,ARV New Town,1070 sqft,Unfurnished,3,₹56.5 Lac ,₹4349 per sqft 
,2,Kumar Kruti,910 sqft,Unfurnished,2,₹1.10 Cr ,₹10476 per sqft 
,3,Marigold,1950 sqft,Furnished,4,₹3.50 Cr ,₹16471 per sqft 
,3,Godrej Prana,1154 sqft,Semi-Furnished,3,₹83.6 Lac ,₹5073 per sqft 
,3,10 North,2400 sqft,Unfurnished,4,₹2.75 Cr ,₹10185 per sqft 
,3,,922 sqft,Unfurnished,2,₹1.09 Cr ,₹8762 per sqft 
,3,Shubh Nirvana,1167 sqft,Unfurnished,3,₹1.55 Cr ,₹9237 per sqft 
,2,Majestique Rhythm County,668 sqft,Unfurnished,2,₹46 Lac ,₹6886 per sqft 
,3,Gera World of Joy,1200 sqft,Semi-Furnished,3,₹1.75 Cr ,₹10367 per sqft 
,2,Kolte Patil Equa Wagholi,787 sqft,Unfurnished,2,₹48 Lac ,₹4776 per sqft 
,2,Adani Atelier Greens,,Semi-Furnished,2,₹1.40 Cr ,₹12174 per sqft 
,3,Nivasa Enchante,1100 sqft,Unfurnished,3,₹85 Lac ,₹6050 per sqft 
,3,Akshar Elementa,1100 sqft,Semi-Furnished,3,₹1.22 Cr ,₹9037 per sqft 
,3,AWHO Vijay Vihar,,Semi-Furnished,3,₹1.02 Cr ,₹6800 per sqft 
,3,Clover Garden,,Unfurnished,3,₹1.78 Cr ,₹11867 per sqft 
,3,VTP Beaumonde,1150 sqft,Unfurnished,3,₹1.10 Cr ,₹6875 per sqft 
,4,Marvel Zephyr,3300 sqft,Semi-Furnished,4,₹3.50 Cr ,₹7778 per sqft 
,3,AWHO Vijay Vihar,1500 sqft,Furnished,3,₹1.50 Cr ,₹8333 per sqft 
,3,Ganga Platino,1450 sqft,Semi-Furnished,3,₹2.15 Cr ,₹11026 per sqft 
,2,Gagan Adira,815 sqft,Unfurnished,2,₹65 Lac ,₹6385 per sqft 
,4,,2304 sqft,Unfurnished,5,₹3.49 Cr ,₹11258 per sqft 
,3,Suyog Enclave,1310 sqft,Furnished,3,₹1.45 Cr ,₹8858 per sqft 
,4,Eon Waterfront,,Unfurnished,4,₹4.50 Cr ,₹11027 per sqft 
,4,,3000 sqft,Unfurnished,4,₹6.75 Cr ,₹16875 per sqft 
,3,The Balmoral Riverside,1377 sqft,Semi-Furnished,3,₹2.21 Cr ,₹11693 per sqft 
,3,,1298 sqft,Semi-Furnished,3,₹2.95 Cr ,₹16809 per sqft 
,4,Rama Metro Life Maxima Residences,1465 sqft,Unfurnished,4,₹1.55 Cr ,₹7828 per sqft 
,3,Raheja Stellar,1727 sqft,Unfurnished,4,₹2.09 Cr ,₹8966 per sqft 
,5,Bramha the Collection,2910 sqft,Semi-Furnished,4,₹4.58 Cr ,₹11242 per sqft 
,4,Marvel Zephyr,3400 sqft,Semi-Furnished,5,₹4 Cr ,₹8333 per sqft 
,2,Rakshak Nagar Gold,600 sqft,Unfurnished,2,₹64 Lac ,₹7529 per sqft 
,4,One North,3600 sqft,Semi-Furnished,4,₹5 Cr ,₹10870 per sqft 
,3,Kolte Patil Ivy Botanica,1270 sqft,Semi-Furnished,3,₹80 Lac ,₹5333 per sqft 
,2,Sai Luxuria,755 sqft,Unfurnished,2,₹86 Lac ,₹8431 per sqft 
,2,Gulmohar Renaissance,810 sqft,Semi-Furnished,2,₹66 Lac ,₹5846 per sqft 
,3,Kolte-Patil Tuscan Estate,1350 sqft,Semi-Furnished,2,₹1.85 Cr ,₹11212 per sqft 
,2,Omega Paradise,820 sqft,Unfurnished,2,₹78 Lac ,₹7800 per sqft 
,3,NSG Royal One,900 sqft,Furnished,2,₹92 Lac ,₹7667 per sqft 
,2,Brahma Suncity,800 sqft,Semi-Furnished,2,₹65 Lac ,₹6190 per sqft 
,2,Kalpataru Jade Skyline,860 sqft,Unfurnished,2,₹1.12 Cr ,
,2,,,Semi-Furnished,2,₹1.30 Cr ,₹13684 per sqft 
,3,Kolte-Patil Tuscan Estate,1250 sqft,Semi-Furnished,3,₹1.78 Cr ,₹10788 per sqft 
,3,Marvel Zephyr,1700 sqft,Unfurnished,3,₹2.30 Cr ,₹10952 per sqft 
,4,Paranjape Sky One,1920 sqft,Semi-Furnished,4,₹4.75 Cr ,₹17593 per sqft 
,3,Forest County,1291 sqft,Unfurnished,3,₹2.25 Cr ,₹13081 per sqft 
,2,Godrej Infinity,850 sqft,Semi-Furnished,2,₹94.5 Lac ,₹8646 per sqft 
,3,Park Street,1200 sqft,Semi-Furnished,3,₹1.32 Cr ,₹8980 per sqft 
,3,Forest Trails Highland,1300 sqft,Semi-Furnished,3,₹1.30 Cr ,₹8387 per sqft 
,1,,450 sqft,Unfurnished,2,₹48 Lac ,₹7385 per sqft 
,2,Empress Court,1597 sqft,Unfurnished,2,₹1.85 Cr ,₹11212 per sqft 
,1,Yuvraj Classic,535 sqft,Unfurnished,1,₹41 Lac ,₹6212 per sqft 
,2,Park Street,1200 sqft,Semi-Furnished,2,₹1.60 Cr ,₹9143 per sqft 
,2,Rohit Pavillion,750 sqft,Furnished,2,₹60 Lac ,₹5714 per sqft 
,3,,3000 sqft,Furnished,3,₹5.50 Cr ,₹13750 per sqft 
,4,Shapoorji Joyville Hadapsar Annexe,,Unfurnished,4,₹3 Cr ,₹15000 per sqft 
,2,,870 sqft,Unfurnished,2,₹95 Lac ,₹7600 per sqft 
,2,Jade Residences 2,650 sqft,Unfurnished,2,₹45 Lac ,₹5921 per sqft 
,2,Ionia,812 sqft,Unfurnished,2,₹59.1 Lac ,₹5880 per sqft 
,1,,400 sqft,Unfurnished,1,₹14.5 Lac ,₹2900 per sqft 
,3,Kamal Prabha,,Semi-Furnished,3,₹95 Lac ,₹8636 per sqft 
,2,Eisha Empire,728 sqft,Furnished,2,₹55 Lac ,₹5914 per sqft 
,1,Lunkad Shivpuram,500 sqft,Unfurnished,1,₹33.8 Lac ,₹6000 per sqft 
,2,Godrej 24,939 sqft,Unfurnished,2,₹1.05 Cr ,₹8434 per sqft 
,2,Mont Vert Vesta,592 sqft,Unfurnished,2,₹42.3 Lac ,₹6429 per sqft 
,1,G P Ratnadeep Wing B,334 sqft,Unfurnished,1,₹55 Lac ,₹11957 per sqft 
,2,Little Earth Apartments,787 sqft,Unfurnished,2,₹60.5 Lac ,₹6722 per sqft 
,2,Mont Vert Pristine,1250 sqft,Furnished,2,₹1.74 Cr ,₹11812 per sqft 
,1,YashONE,399 sqft,Unfurnished,2,₹26.3 Lac ,₹5007 per sqft 
,1,Wildwoods 2,470 sqft,Unfurnished,1,₹38 Lac ,
,2,,750 sqft,Unfurnished,2,₹47.7 Lac ,₹4990 per sqft 
,1,,468 sqft,Unfurnished,1,₹26.8 Lac ,
,2,Sonai Heights,,Unfurnished,2,₹33 Lac ,₹4733 per sqft 
,3,Prime Panache A,,Semi-Furnished,3,₹1.27 Cr ,₹9352 per sqft 
,2,Majestique Venice,,Unfurnished,2,₹67 Lac ,₹6890 per sqft 
,1,P S Villa,550 sqft,Furnished,1,₹42 Lac ,
,2,Queenstown,1007 sqft,Unfurnished,2,₹1.10 Cr ,
,3,Marvel Piazza,,Unfurnished,3,₹2.82 Cr ,₹15267 per sqft 
,1,Mahalakshmi nagar Uma Building,,Semi-Furnished,1,₹54 Lac ,₹8710 per sqft 
,2,Porwal Road Residential,972 sqft,Unfurnished,2,₹81 Lac ,₹7633 per sqft 
,1,Barsana Aangan,630 sqft,Unfurnished,1,₹31.6 Lac ,
,3,,981 sqft,Unfurnished,3,₹60 Lac ,₹4225 per sqft 
,3,Yashwin 2,1570 sqft,Semi-Furnished,3,₹1.50 Cr ,₹9554 per sqft 
,1,,,Furnished,1,₹28.5 Lac ,₹4914 per sqft 
,2,,660 sqft,Unfurnished,2,₹38.3 Lac ,₹6071 per sqft 
,1,Satyam Serenity,482 sqft,Semi-Furnished,1,₹50 Lac ,₹8347 per sqft 
,4,Himalayan Heights Fatima Nagar,,Furnished,4,₹2 Cr ,₹10000 per sqft 
,2,Park Express,788 sqft,Furnished,2,₹1.40 Cr ,₹13158 per sqft 
,1,Navyangan,389 sqft,Unfurnished,1,₹24.6 Lac ,
,2,Prakash Florence,824 sqft,Furnished,2,₹72.5 Lac ,₹6925 per sqft 
,2,Urban Gram Chakan,651 sqft,Unfurnished,2,₹26.4 Lac ,₹3277 per sqft 
,1,,444 sqft,Unfurnished,1,₹30 Lac ,₹4839 per sqft 
,1,Kairosa,440 sqft,Unfurnished,1,₹38.2 Lac ,
,1,,,Semi-Furnished,1,₹35.9 Lac ,₹6240 per sqft 
,1,Sai Niwas,512 sqft,Unfurnished,2,₹21 Lac ,₹3231 per sqft 
,2,Suvidha Vrundavan,900 sqft,Unfurnished,2,₹26.3 Lac ,₹3091 per sqft 
,2,Shivam Guruvihar,680 sqft,Unfurnished,2,₹29.6 Lac ,₹3818 per sqft 
,2,Palresha Sankla P S Villa,765 sqft,Semi-Furnished,2,₹45.5 Lac ,
,2,,705 sqft,Unfurnished,2,₹58.3 Lac ,₹5304 per sqft 
,2,VTP Blue Waters,650 sqft,Semi-Furnished,2,₹82 Lac ,₹9111 per sqft 
,2,Nandini Spring Field,,,,₹60 Lac ,₹8152 per sqft 
,2,Shriniwas Serene County Phase 2 CHS Ltd D To L Building,,Unfurnished,2,₹62.6 Lac ,₹9714 per sqft 
,1,Kumar Palms,,Unfurnished,2,₹46 Lac ,₹8364 per sqft 
,3,Pride Platinum Plus,,Furnished,3,₹2.02 Cr ,₹16357 per sqft 
,2,sunshine apartment,,Furnished,2,₹1.50 Cr ,₹16234 per sqft 
,3,Gini Sanskruti,1220 sqft,Semi-Furnished,3,₹68 Lac ,₹4964 per sqft 
,1,Nilesh Samruddhi,495 sqft,Unfurnished,2,₹30 Lac ,₹5140 per sqft 
,2,Gera World of Joy,732 sqft,Unfurnished,2,₹1.05 Cr ,₹10617 per sqft 
,1,Nirman Brookefield Willows,430 sqft,Unfurnished,1,₹30.9 Lac ,₹5965 per sqft 
,1,Sai Sayaji Towers,720 sqft,Semi-Furnished,2,₹53.6 Lac ,₹6706 per sqft 
,1,Panchawati,550 sqft,Unfurnished,1,₹38 Lac ,₹5846 per sqft 
,2,Namrata Eco Valley,580 sqft,Unfurnished,2,₹30 Lac ,₹3979 per sqft 
,2,Godrej Skygreens,52 sqm,Unfurnished,2,₹80 Lac ,₹11612 per sqft 
,,Sanjuda Complex,,Unfurnished,1,₹13.7 Lac ,₹3906 per sqft 
,2,Godrej Urban Retreat,51 sqm,Unfurnished,2,₹95 Lac ,₹13790 per sqft 
,1,Dnyan manjula,,Unfurnished,1,₹18.3 Lac ,₹3431 per sqft 
,1,Defence Colony Phase 4,,Unfurnished,1,₹30.6 Lac ,₹6476 per sqft 
,2,Rio Vista,,Unfurnished,2,₹33.8 Lac ,₹4979 per sqft 
,3,Sukhwani Hermosa Casa,851 sqft,Semi-Furnished,3,₹87.3 Lac ,₹10352 per sqft 
,3,Riverdale Residences,1100 sqft,Semi-Furnished,3,₹1.42 Cr ,₹10143 per sqft 
,2,Celebrations,830 sqft,Unfurnished,2,₹37.2 Lac ,₹4651 per sqft 
,1,Ekta Residency,490 sqft,Unfurnished,1,₹30 Lac ,₹5172 per sqft 
,2,ARV New Town,784 sqft,Furnished,2,₹65.1 Lac ,
,1,Karia Konark Orchid,,Unfurnished,1,₹45 Lac ,₹5597 per sqft 
,1,Royal Empire,464 sqft,Unfurnished,1,₹39.1 Lac ,₹6545 per sqft 
,2,Sukhwani Araya,712 sqft,Unfurnished,2,₹80 Lac ,
,1,Aura County,501 sqft,Semi-Furnished,2,₹40 Lac ,₹6144 per sqft 
,2,Sentosa Pride,907 sqft,Unfurnished,2,₹81 Lac ,₹7627 per sqft 
,3,Majestique Signature Towers,1180 sqft,Unfurnished,3,₹1.90 Cr ,₹11269 per sqft 
,2,Gupta Cherry Hills,765 sqft,Unfurnished,2,₹67.8 Lac ,₹6331 per sqft 
,3,Avon Vista,,Unfurnished,3,₹1.52 Cr ,₹9500 per sqft 
,1,Godrej Parkridge,429 sqft,Unfurnished,1,₹46.8 Lac ,
,2,Gupta Cherry Hills,765 sqft,Unfurnished,2,₹63.1 Lac ,
,3,Nyati Estate,1550 sqft,Unfurnished,3,₹1.20 Cr ,₹7059 per sqft 
,3,Amits Montecito,1610 sqft,Unfurnished,3,₹3.80 Cr ,₹17273 per sqft 
,1,,800 sqft,Unfurnished,1,₹37.5 Lac ,₹3750 per sqft 
,2,Parijat Apartment Vadgaon Budruk,950 sqft,Semi-Furnished,2,₹65 Lac ,₹5417 per sqft 
,3,Nyati Eternity,1130 sqft,Unfurnished,2,₹83 Lac ,₹5662 per sqft 
,3,Shantiban,,Furnished,3,₹1.41 Cr ,₹9307 per sqft 
,2,,,Unfurnished,2,₹48.4 Lac ,₹5200 per sqft 
,1,Gandharv Serenity,540 sqft,Semi-Furnished,1,₹60 Lac ,₹9375 per sqft 
,2,,754 sqft,Semi-Furnished,2,₹1.20 Cr ,₹12967 per sqft 
,3,,1090 sqft,Unfurnished,3,₹1.68 Cr ,₹11016 per sqft 
,2,Nanded City,697 sqft,Unfurnished,2,₹66.1 Lac ,₹7344 per sqft 
,2,Riverdale Heights,732 sqft,Semi-Furnished,2,₹95 Lac ,₹12978 per sqft 
,2,Majestique Signature Towers,865 sqft,Unfurnished,2,₹1.14 Cr ,₹9965 per sqft 
,,,160 sqft,Furnished,1,₹33 Lac ,₹15278 per sqft 
,3,,1069 sqft,Unfurnished,2,₹1.85 Cr ,₹12821 per sqft 
,3,Forest County,1400 sqft,Semi-Furnished,3,₹2.15 Cr ,₹13438 per sqft 
,6,Panchshil Towers,7500 sqft,Furnished,8,₹9.11 Cr ,₹12147 per sqft 
,2,Majestique Euriska,807 sqft,Semi-Furnished,2,₹71.4 Lac ,₹7238 per sqft 
,2,Godrej Forest Grove,48 sqm,Unfurnished,2,₹68 Lac ,₹10892 per sqft 
,2,Bramha the Collection,,Unfurnished,2,₹1.07 Cr ,₹13544 per sqft 
,4,Mantri Avenue 1 CHS,,Furnished,3,₹2.10 Cr ,₹12500 per sqft 
,1,Sahyog Park,,Furnished,1,₹39 Lac ,₹7078 per sqft 
,4,AV Bhat Basant Bahar,1950 sqft,Semi-Furnished,5,₹3.70 Cr ,₹14800 per sqft 
,2,ABIL Imperial Atria,,Furnished,2,₹1.29 Cr ,₹11667 per sqft 
,1,,420 sqft,Unfurnished,1,₹29.1 Lac ,₹5360 per sqft 
,2,,924 sqft,Unfurnished,2,₹87.4 Lac ,₹7612 per sqft 
,1,Majestique Aqua,700 sqft,Unfurnished,1,₹33 Lac ,
,2,Sahyadri Utsav,750 sqft,Unfurnished,2,₹45 Lac ,₹5762 per sqft 
,2,Nyati Eternity,836 sqft,Unfurnished,2,₹62 Lac ,₹5492 per sqft 
,2,Siddhagiri Apartment,800 sqft,Unfurnished,2,₹65 Lac ,₹5909 per sqft 
,3,,1170 sqft,Unfurnished,3,₹1.42 Cr ,₹9057 per sqft 
